Link,Link Description,Existance Boolean,Date
https://www.funbrain.com/, Funbrain,true,2018-01-25 17:40:53.096854
https://www.familyeducation.com/, FamilyEducation,true,2018-01-25 17:40:53.252855
https://www.teachervision.com/, TeacherVision,true,2018-01-25 17:40:53.411256
https://www.factmonster.com, Fact Monster,true,2018-01-25 17:40:53.582856
https://sandboxnetworks.custhelp.com/app/ask/p/27, Contact,true,2018-01-25 17:40:54.545066
https://www.facebook.com/InfoPleaseOfficial/, ,true,2018-01-25 17:40:56.126471
https://twitter.com/Info_Please, ,true,2018-01-25 17:40:56.710073
https://www.pinterest.com/infopleasecom, ,true,2018-01-25 17:40:58.496878
